user,location,gender,followers,text,created_time,comments,good
张雨绮,北京,f,8353343,我因为个人婚姻和情感问题多次叨扰大家，本来下了决心再也不把私事拿出来说了 ，但也确实没有想到会遇到今天的局面。此刻，我觉得尴尬丢人。只想说三点：第一 ，情人间的对话如此隐私，因为情感破裂爆出来，这行为我很恶心！抱歉也恶心大家了 ，但我不想采取同样方法报复。第二 ，自由之身，与谁约会都 ​,Sun Jan 06 19:12:53 +0800 2019,87029,457897
我是袁巴元,上海 黄浦区,m,47147,张雨绮小姐，我觉得，还是需要对您的说辞种种，有所回应。 ​,Sun Jan 06 22:26:50 +0800 2019,63283,125203
金瀚Kim,北京,m,6394860,#世界是暖的# 都给我笑…每一天 ​,Mon Jan 07 15:29:10 +0800 2019,8295,20596
进击的阿木君,广东 深圳,m,4939275,嵌入墙壁里的乐高，打开的那一刻也太惊艳了吧！！ http://t.cn/EGo1xpy ​​​,Sun Jan 06 17:15:54 +0800 2019,4465,68598
池子池子大池子,其他,m,4032534,今天是本季最後一期吐槽大會，應該還有下一季，但這是我最後一期了，感謝有你，滿心歡喜，謝謝大家，我是池子！ ​,Mon Jan 07 00:34:06 +0800 2019,24811,162185
努力努力再努力x,湖南 长沙,m,45091906,今晚 不就是全民吐槽 我想开了 ​,Sun Jan 06 19:52:13 +0800 2019,89090,308358
梨视频,北京,m,14253250,【他消灭了中国小儿麻痹症！今天请转发，#送别糖丸爷爷#顾方舟！[蜡烛]】1月2日，我国著名病毒学专家顾方舟去世，享年92岁。顾方舟研究脊髓灰质炎（小儿麻痹症）预防及控制40多年，1960年他成功研制出首批脊灰活疫苗，1962年又牵头研制成功糖丸减毒活疫苗。自1964年“脊灰”糖丸疫苗全国推广以来，数十 ​,Mon Jan 07 10:25:18 +0800 2019,8355,63571
张樟同学,北京,f,825877,我是#义卖星推官#张樟，我为#千里西藏助学行#公益活动义卖了我的闲置物品，2019分享你最喜爱的义卖明星！到线头公益助我成为#义卖大使#吧！分享让闲置物品更有爱！http://t.cn/EGOfNvM   @线头公益 ​,Mon Jan 07 12:53:47 +0800 2019,140,3248
阿信,台湾 台北市,m,21969394,"人生無限公司 最終場

起點站 高雄 2017年3月18日
最終站 台中 2019年1月6日
總計122場 動員415萬人次參與

阿信：
這是一生中最奔波的一趟長征
這是一生中最任性的一次旅行

怪獸：
戰士卸下盔甲，吉他手放下吉他，
肩頭上因為摩擦而留下的痕跡，
麻麻的指尖，
留在心中的悸動，
是怎麼也忘不掉的。

 ​",Sun Jan 06 21:15:49 +0800 2019,23808,67089
Rabbit每日爆料,北京,m,2025853,金球奖红毯上有粉丝用中文喊甜茶，他立马回应粉丝又说了一遍，真的好甜[好喜欢]http://t.cn/EGpY0yS ​​​,Mon Jan 07 09:16:14 +0800 2019,6119,61078
新京报我们视频,北京 东城区,m,6022553,【#艺术升崩溃#考生心急如焚 软件方：报名人数太多】1月6日，不少艺术生反映，通过艺考报名App“艺术升”进行报名时遇到了软件卡顿、乱码等问题，导致无法顺利报名。艺术升软件方回应称，问题原因系“全国艺术院校减少、考点削减，加上考点容量限制，造成大量考生集中报名院校部分考点”引起。 ​,Mon Jan 07 00:09:54 +0800 2019,10251,48761
大学新鲜事,北京 东城区,m,10793204,#清华奖学金答辩会 神仙打架#，大家可以感受下[允悲] http://t.cn/EAifx7I ​,Sun Jan 06 17:56:43 +0800 2019,10575,50550
谢娜,北京 海淀区,f,122666511,带宝宝们上车的时候，手指被车门狠狠的夹了一下，痛得我想大喊一声大哭一下[怒骂][抓狂]突然忍住了，一瞬间想不能吓着她们，我要做她们眼中坚强阳光可爱的妈妈[悲伤][拳头] 于是我微笑着流下两行疼痛的眼泪[笑cry] ，哇，真的真的好痛啊，这感觉好酸爽啊[允悲][奥特曼] ​,Mon Jan 07 11:54:37 +0800 2019,7915,106320
李易峰,北京,m,54063258,抢先我自己来发 ​,Mon Jan 07 13:50:09 +0800 2019,19021,76727
TFBOYS-王俊凯,重庆,m,70210371,买票了吗？该准备回家了吧。春运路上别忘了来条士力架，不要饿着回家哦～#王俊凯士力架饱你回家# http://t.cn/EG0EkNX ​,Mon Jan 07 12:04:30 +0800 2019,25572,99879
天津日报,天津,m,1608946,"【权健公司实际控制人束某某等18人被依法刑事拘留】记者从“权健事件”等联合调查组获悉，权健自然医学科技发展有限公司实际控制人束某某等18名犯罪嫌疑人已被依法刑事拘留。

2019年1月1日，天津市公安机关对权健自然医学科技发展有限公司涉嫌组织、领导传销活动罪和虚假广告罪立案侦查。1月2日，对在 ​",Mon Jan 07 03:00:45 +0800 2019,8211,26578
闻娱教主,其他,f,3647244,#霉霉给ladygaga颁奖# 第76届#金球奖#上，Lady Gaga主演的《一个明星的诞生》中的歌曲《Shallow》获得最佳原创歌曲， “霉霉”泰勒·斯威夫特 为她颁奖，两位天后上演世纪拥抱，并一起搂着退场，世纪同框终于等到了！[憧憬][憧憬] http://t.cn/EG0Sml0 ​,Mon Jan 07 11:03:07 +0800 2019,4284,39578
Mr_凡先生,其他,m,44920973,收官之夜 时间煮雨  #下一站传奇# ​,Sun Jan 06 20:55:58 +0800 2019,22410,121911
央视新闻,北京,m,79409857,【今天，转发微博，送别#糖丸爷爷顾方舟#】昨天，中国医学科学院举行顾方舟追思会。他研制出液体和糖丸两种活疫苗，使数十万儿童免于致残；制定出我国第一部“脊髓灰质炎口服活疫苗制造及检定规程”，保证了数十亿人份疫苗的质量。他说：“希望免疫工作者，能看好、保护好每一个孩子，让他们健康成长。 ​,Mon Jan 07 09:13:02 +0800 2019,3496,25279
陆毅,北京,m,26680479,#陆毅[超话]# 生日胖五斤能被原谅吗[羞嗒嗒] ​,Sun Jan 06 17:38:06 +0800 2019,7614,39638
李铁根,河北 保定,m,5650129,我老了，完全看不懂现在的电视剧了…… http://t.cn/EGK2Z2e ​,Sun Jan 06 17:46:01 +0800 2019,17165,9837
思想聚焦,广东 广州,m,27877228,"那些“大龄剩 女”还在坚持什么？这个回答真好！[心]

我，32。没有男朋友。

最近很忙。

八月工作太忙，生了一场不大不小的病，元气大伤。

在病床上订下个月的机票、酒店、行程。九月病未痊愈，按照既定行程带父母去日本旅游。

这是妈妈第二次出国，爸爸第一次。

十月整理现在住所的物品，准备正 ​",Sun Jan 06 22:05:04 +0800 2019,3479,27220
大头和他的朋友们,辽宁 沈阳,m,3005778,问题来了，#什么菜才是真正的米饭杀手#。 ​,Sun Jan 06 23:02:24 +0800 2019,42285,12679
XR-COOLM默默,广西 南宁,m,5513,#70万艺考生丧失报名资格#  #上亿讨论艺术升崩溃热搜被秒删# #艺考升崩溃# 炸了炸了，还压热搜，我一个程序猿都看不下去了！！！报名上不上反正我在上，艺术升不升反正我最坑…… ​,Sun Jan 06 20:37:42 +0800 2019,6193,37083
倪妮V,江苏 南京,f,20978666,只要一工作就让我自拍[二哈]尽力了[羞嗒嗒] ​,Sun Jan 06 22:18:20 +0800 2019,3183,58530
