name,typ1,typ2,typ3,lon,lat
金麓国际大酒店(一楼西餐),餐饮服务,外国餐厅,外国餐厅,112.93633999999999,28.22488
昌盛酒家(铜官镇店),餐饮服务,中餐厅,中餐厅,112.809358,28.454926
大众餐馆(东十路),餐饮服务,中餐厅,中餐厅,113.137556,28.220501000000002
耕食记(金洲大道),餐饮服务,中餐厅,中餐厅,112.70075200000001,28.249578999999997
建明蛇馆,餐饮服务,中餐厅,中餐厅,112.385488,28.186405
徐记海鲜(麓谷店),餐饮服务,中餐厅,海鲜酒楼,112.89659099999999,28.216739
家里的咖啡,餐饮服务,咖啡厅,咖啡厅,112.96305,28.122805
肯德基(漓湘路店),餐饮服务,快餐厅,肯德基,113.111071,28.225909
私飨荟·温鼎私房火锅(犁头店),餐饮服务,餐饮相关场所,餐饮相关,112.97928799999998,28.194569
小九门卤水火锅(暂停营业),餐饮服务,中餐厅,火锅店,112.979804,28.187853999999998
台湾苏示牛排(云塘理工大学店),餐饮服务,外国餐厅,牛扒店(扒房),113.010938,28.060415000000003
美丽人生美地轩餐厅(绿地店),餐饮服务,中餐厅,综合酒楼,112.55136,28.274411999999998
我家小院(新姚路店),餐饮服务,中餐厅,中餐厅,112.97901,28.102273999999998
罗莎蛋糕(黄花塘店),餐饮服务,糕饼店,糕饼店,112.843373,28.200953000000002
全家园大酒楼(中意一路店),餐饮服务,中餐厅,综合酒楼,113.007802,28.121757000000002
咖啡之翼(奥特莱斯店),餐饮服务,咖啡厅,咖啡厅,112.996036,28.0716
1910法国菜,餐饮服务,外国餐厅,法式菜品餐厅,112.962296,28.191640000000003
玖馀大酒店,餐饮服务,中餐厅,中餐厅,112.911653,28.490595000000003
北滨水饺店(晚报大道店),餐饮服务,中餐厅,特色/地方风味餐厅,113.026544,28.208624
上岛咖啡(湘府店),餐饮服务,咖啡厅,上岛咖啡,112.989046,28.111655
肯德基(郭亮中路店),餐饮服务,快餐厅,肯德基,112.81565400000001,28.357709999999997
马里奥(附三店),餐饮服务,糕饼店,糕饼店,112.946375,28.218154
饭怕鱼(麓山南路店),餐饮服务,中餐厅,中餐厅,112.94358500000001,28.168495
记忆咖啡·旅馆,餐饮服务,咖啡厅,咖啡厅,113.724254,27.973329999999997
罗曼咖啡,餐饮服务,咖啡厅,咖啡厅,113.01390500000001,28.102604
湘聚缘酒楼(振兴中路),餐饮服务,中餐厅,综合酒楼,112.556803,28.257671999999996
壹·鲤·米,餐饮服务,中餐厅,中餐厅,112.990393,28.186028999999998
好吃婆地道家味馆,餐饮服务,中餐厅,中餐厅,113.08235800000001,28.198722999999998
都乐西饼(南站店),餐饮服务,糕饼店,糕饼店,112.54563200000001,28.235452000000002
泰子椰(悦方idmall店),餐饮服务,外国餐厅,泰国/越南菜品餐厅,112.97463300000001,28.189674
宏茶楼,餐饮服务,茶艺馆,茶艺馆,113.003642,28.233172999999997
太平粮仓,餐饮服务,外国餐厅,西餐厅(综合风味),112.971778,28.193974
湘干部鲜鱼馆(杉木冲路店),餐饮服务,中餐厅,湖南菜(湘菜),112.994504,28.107287
满满的油泼面,餐饮服务,中餐厅,中餐厅,113.00361200000002,28.194545
果舍,餐饮服务,休闲餐饮场所,休闲餐饮场所,112.973699,28.185557
罗莎蛋糕(泉塘店),餐饮服务,糕饼店,糕饼店,113.11083500000001,28.226786999999998
漫咖啡(梅溪湖店),餐饮服务,咖啡厅,咖啡厅,112.897574,28.191114000000002
咖啡之翼咖餐厅(绿店),餐饮服务,咖啡厅,咖啡厅|餐饮服务,112.985712,28.197645
漫咖啡(世纪金源店),餐饮服务,咖啡厅,咖啡厅,112.97893700000002,28.250328000000003
偶像焗,餐饮服务,中餐厅,中餐厅,112.983503,28.204618
老百姓酒家(道林镇居委会卫生室西北),餐饮服务,中餐厅,中餐厅,112.723541,28.008112
果舍,餐饮服务,休闲餐饮场所,休闲餐饮场所,112.973699,28.185557
罗莎蛋糕(泉塘店),餐饮服务,糕饼店,糕饼店,113.11083500000001,28.226786999999998
漫咖啡(梅溪湖店),餐饮服务,咖啡厅,咖啡厅,112.897574,28.191114000000002
咖啡之翼咖餐厅(绿店),餐饮服务,咖啡厅,咖啡厅|餐饮服务,112.985712,28.197645
漫咖啡(世纪金源店),餐饮服务,咖啡厅,咖啡厅,112.97893700000002,28.250328000000003
东北饺子盖码饭,餐饮服务,中餐厅,中餐厅,113.040655,28.190021999999995
纳啡吧,餐饮服务,咖啡厅,咖啡厅,112.978346,28.195933
仁义园,餐饮服务,中餐厅,中餐厅,113.036378,28.106423
麦当劳(长沙王府井FAMILYPARK购物中心),餐饮服务,快餐厅,麦当劳,112.933051,28.218503000000002
得胜桥云南过桥米线(新民路店),餐饮服务,快餐厅,快餐厅,112.95241100000001,28.192414000000003
洪记卤粉(登仁桥巷),餐饮服务,中餐厅,中餐厅,112.975169,28.184375
澳门葡挞(复兴街店),餐饮服务,糕饼店,糕饼店,112.990214,28.188859000000004
魔味鬼爪(通程商业广场店),餐饮服务,中餐厅,中餐厅,112.952008,28.195214
科苑酒楼,餐饮服务,中餐厅,综合酒楼,112.99666699999999,28.213156
上好面(西子花苑店),餐饮服务,中餐厅,中餐厅,113.02809199999999,28.1801
何记粥铺(后湖店),餐饮服务,餐饮相关场所,餐饮相关,112.938551,28.151831
